nom,region,departement,sous_prefecture,latitude,longitude,population
"Kouassi-Béniékro","","","","6.805156","-3.527481",""
"M'Basso-Agni","","","","6.301054","-3.471097",""
"Satikran","","","","6.826987","-3.743181",""
"Soukoussoukou","","","","6.4808801","-3.3442833",""
"Takima","","","","6.5267606","-3.3688905",""
"Kodjinan","","","","6.729162","-3.58775",""
"Bandakro","","","","6.1998868","-5.7537624",""
"Attiékro","","","","6.133214","-3.213452",""
"Appouasso","","","","5.963046","-3.176052",""
"Ebikro-Ndakro","","","","5.724997","-3.110986",""
"Kétésso","","","","5.877962","-3.174071",""
"Sanhoukro","","","","5.784986","-3.129683",""
"Songan","","","","6.109293","-3.208425",""
"Soubré","","","","5.932812","-3.180678",""
"Bodiba","","","","6.4457676","-5.7128919",""
"Donsohouo","","","","6.4491488","-5.6959217",""
"Affiénou","","","","5.411185","-2.924785",""
"Ahigbé Koffikro","","","","5.40755","-3.380233",""
"Akressi","","","","5.666422","-3.078209",""
"Allekro","","","","5.3610453","-3.2054583",""
"Alunkro","","","","5.4804669","-3.2295186",""
"Amankokro","","","","5.431639","-3.314739",""
"Baffia","","","","5.538909","-2.990233",""
"Bakro","","","","5.506815","-3.245502",""
"Brahimakro","","","","5.4030916","-3.448574",""
"Dadressio","","","","5.502883","-2.83359",""
"Diby","","","","5.657744","-2.978453",""
"Doudoukro","","","","5.33783","-3.327773",""
"Eboué","","","","5.344071","-3.125502",""
"Kotoka","","","","5.545259","-2.8693525",""
"Kouakoukro la-Limité","","","","5.358175","-3.442097",""
"Koukourandoumi","","","","5.517139","-3.177192",""
"Maubert","","","","5.485162","-3.250089",""
"Sanhouman","","","","5.398165","-3.140697",""
"Toliesso","","","","5.5","-2.9",""
"Toumanguié Sodepalm Deux","","","","5.355224","-3.3822699",""
"Toumanguié Sodepalm Trois","","","","5.356333","-3.348203",""
"Toumanguié Sodepalm 1","","","","5.370192","-3.38685",""
"Toumanguié","","","","5.327031","-3.323744",""
"JACOB Village","","","","6.3270522","-5.524023",""
"Dougbo","","","","6.495691","-5.6804818",""
"Niamien-Konankro","","","","6.5673956","-5.5940556",""
"Yadio Kouassikro","","","","6.9623853","-4.9299287",""
"Diaakro","","","","6.9810024","-4.9475352",""
"Ouaouakro","","","","6.9939653","-4.9587078",""
"Kouassi Afflékro","","","","7.011544","-4.9673899",""
"Owouekro","","","","7.047572","-4.9715677",""
"Ngouimbo","","","","7.0683211","-4.950963",""
"Assoko yaodjekro","","","","7.0830393","-4.9930968",""
"Aboblakro","","","","7.0914994","-4.9800319",""
"Adikro","","","","6.9288272","-4.9449498",""
"Nékro","","","","6.9110877","-4.9410085",""
"Miné Kouadiokro","","","","6.9578321","-4.8930898",""
"Konankékrekro","","","","6.9680229","-4.8930603",""
"Pangbassou","","","","6.9866363","-4.9118315",""
"Bognankro","","","","7.0105178","-4.8992703",""
"Galébo","","","","7.0341108","-4.9245184",""
"Yagbabo Kanango","","","","7.0446304","-4.9214851",""
"Kossou","","","","6.9594899","-4.9715383",""
"Koffi Ngonankro","","","","6.9990361","-5.0057161",""
"Bongobo","","","","7.0209537","-5.0392591",""
"Karimso","","","","6.678379","-5.8812671",""
"Proziblanfla","","","","6.6849076","-5.8766663",""
"Konéfla","","","","6.8153525","-5.7770469",""
"Suéfla","","","","6.8424752","-5.6848428",""
"Duafla","","","","6.7532719","-5.9407925",""
"Biégon","","","","6.7958869","-6.0236508",""
"Blanoufla","","","","6.7946805","-6.0380022",""
"Kangréta","","","","6.7994663","-6.0423984",""
"Bantifla","","","","6.7477931","-6.1106439",""
"Iribafla","","","","6.7294201","-6.1172716",""
"Zan robert","","","","6.6118465","-5.9973178",""
"Broniozra","","","","6.9517731","-5.9370715",""
"Bononbizehitafla","","","","6.951741","-5.9230336",""
"Souroulaye","","","","6.9554238","-5.8990275",""
"Akowuébo","","","","6.9443881","-5.8744018",""
"Nangrékro","","","","6.9286701","-5.8608142",""
"Ndenoukro","","","","6.9016333","-5.8465993",""
"Niamayo","","","","6.6490912","-6.190625",""
"Bidiahouan","","","","6.6159964","-6.2384693",""
"Bolia","","","","6.5198226","-6.3005222",""
"Balam","","","","6.5089013","-6.2919032",""
"Niakio","","","","6.5293508","-6.3136001",""
"Dahira","","","","6.541694","-6.3210674",""
"Lababra","","","","6.6608145","-6.4210693",""
"Bougouloboua","","","","6.5473802","-6.3333861",""
"Zouzoua","","","","6.5609371","-6.3536222",""
"Louoboua","","","","6.5775103","-6.3715935",""
"Guéfra","","","","6.649541","-6.5472217",""
"Zuzua","","","","6.6234891","-6.4779532",""
"Zokrodépié","","","","6.6308682","-6.4464873",""
"Makua","","","","6.6466599","-6.4345346",""
"Békora","","","","6.6372469","-6.4402646",""
"Badouboua","","","","6.6874372","-6.4330709",""
"Lagozoan","","","","6.6955432","-6.4353011",""
"Za","","","","6.7153722","-6.4346787",""
"Débéguhé","","","","6.7840847","-6.4016656",""
"Séria","","","","6.7823588","-6.3930396",""
"Zaragoua","","","","6.7928601","-6.4003368",""
"Yépeuza","","","","6.8000343","-6.4000028",""
"Bokora","","","","6.8178055","-6.4278436",""
"Bolia","","","","6.7712638","-6.3980754",""
"Digba","","","","6.759177","-6.4104131",""
"Guédéguhé","","","","6.7556381","-6.4273417",""
"Tchébloguhé","","","","6.6930513","-6.4887461",""
"Gokra (Kraka)","","","","6.6871976","-6.58232",""
"Biéguhé II","","","","6.7166875","-6.5842366",""
"Kékégoza","","","","6.7757085","-6.5510318",""
"Brakaguhé","","","","6.8002872","-6.548259",""
"Békipréa","","","","6.827323","-6.4846696",""
"Zoboua","","","","6.7018978","-6.5569474",""
"Liguéguhé","","","","6.6892902","-6.6010484",""
"Brohouan","","","","6.7675707","-6.5131095",""
"Ziguédia","","","","6.7559837","-6.5194561",""
"Guédékipréa","","","","6.7264869","-6.5437475",""
"Guédiboua (Gossa)","","","","6.7344304","-6.5288452",""
"Krikoréa II; Krinkoréa","","","","6.7055323","-6.6255718",""
"Yokoréa II","","","","6.7047177","-6.6469865",""
"Loboguiguia","","","","6.8421403","-6.5963583",""
"Keibla","","","","6.8483336","-6.5787378",""
"Bébouo","","","","6.8006578","-6.2405846",""
"Sibouo","","","","6.7926961","-6.256765",""
"Bébouo-Sibouo","","","","6.8206996","-6.240575",""
"Bozi Satmaci","","","","6.8807116","-5.5839603",""
"Hallanikro","","","","6.8528636","-5.6417653",""
"Zaguiguia","","","","6.9181866","-6.4564125",""
"Guéya","","","","6.9436328","-6.4638561",""
"Zakoua","","","","6.8017333","-6.452107",""
"Gbétitapéa","","","","6.7900058","-6.4509252",""
"Zégata -Yaouré","","","","6.9427032","-5.5840094",""
"Tuankro","","","","6.9547529","-5.584191",""
"Patizia","","","","6.9742313","-5.5362838",""
"Mahounou-Akoué","","","","6.9536962","-5.3793438",""
"Amonkro","","","","6.9711505","-5.4257696",""
"Attrénou","","","","6.9697552","-5.4300944",""
"Bocabo","","","","6.9966492","-5.4341657",""
"Allai-Yaokro","","","","6.9772077","-5.4955858",""
"Kouakougnanou","","","","6.9996739","-5.5115989",""
"Ailey","","","","6.9682444","-5.5085676",""
"Degbézéré","","","","6.9885282","-5.6560092",""
"Ouanzanou","","","","6.9961757","-5.6516984",""
"Ndénou","","","","7.0062557","-5.6438714",""
"Zérifla","","","","7.6796395","-5.9898735",""
"Gouédéfla","","","","7.7156383","-6.0010251",""
"Dyéifla","","","","7.7229453","-5.99985",""
"Gounga","","","","7.7357189","-5.9994335",""
"Soungasso","","","","8.019324","-6.1569065",""
"Karamokola","","","","8.1008413","-6.1825516",""
"Diénédian","","","","8.081816","-6.1239622",""
"Sokourala","","","","8.0697774","-6.1632574",""
"Konotou","","","","8.0680694","-6.1548171",""
"Manyérékoro","","","","8.069914","-6.0899027",""
"Tiéma","","","","8.0210865","-6.1092558",""
"Fizanlouma","","","","8.033204","-6.085623",""
"Tiérouma","","","","7.8860847","-5.9706404",""
"Korokopla","","","","7.8830565","-5.9666406",""
"Bourébo","","","","7.7168897","-5.7218627",""
"Kekré-Kouakoukro","","","","7.6700556","-4.9042036",""
"Kouadianikro","","","","7.6299081","-4.7501283",""
